Uid	Name	Type	Category	SubCategory	PartsID	Class	ImagePath	Upgrade	MaxOverlayCount	CoolTime	SaleCurrencyType	SaleCurrencyValue	AntiFlag	Description	StatusID1	StatusSuffix1	StatusValue1	StatusID2	StatusSuffix2	StatusValue2	OptionType1	OptionSuffix1	OptionValue1	OptionType2	OptionSuffix2	OptionValue2	OptionType3	OptionSuffix3	OptionValue3	OptionType4	OptionSuffix4	OptionValue4	OptionType5	OptionSuffix5	OptionValue5
# 재화																																			
301011001	Gold	Currency	Gold	None	None	Normal	Gold	0	0	0	None	0	Stash,Shop,Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
301021001	Silver	Currency	Silver	None	None	Normal	Silver	0	0	0	None	0	Stash,Shop,Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 무기																																			
101011001	Sword	Equip	Weapon	Sword	Weapon	Normal	Sword1	0	1	0	Gold	100	None	None	STAT_ATK	PLUS	10	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
101011002	Sword	Equip	Weapon	Sword	Weapon	Normal	Sword1	1	1	0	Gold	100	None	None	STAT_ATK	PLUS	20	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
101011003	Sword	Equip	Weapon	Sword	Weapon	Normal	Sword1	2	1	0	Gold	100	None	None	STAT_ATK	PLUS	30	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
101011004	Sword	Equip	Weapon	Sword	Weapon	Normal	Sword1	3	1	0	Gold	100	None	None	STAT_ATK	PLUS	40	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
101011005	Sword	Equip	Weapon	Sword	Weapon	Normal	Sword1	4	1	0	Gold	100	None	None	STAT_ATK	PLUS	50	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
101011006	Sword	Equip	Weapon	Sword	Weapon	Normal	Sword1	5	1	0	Gold	100	None	None	STAT_ATK	PLUS	60	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
101011007	Crafed Sword1	Equip	Weapon	Sword	Weapon	Normal	CraftSword1	0	1	0	Gold	100	Salvage,Upgrade	None	STAT_ATK	INCREASE	100	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
101011008	Crafed Sword2	Equip	Weapon	Sword	Weapon	Normal	CraftSword2	0	1	0	Gold	100	Salvage,Upgrade	None	STAT_ATK	INCREASE	100	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
101011021	Super Sword	Equip	Weapon	Sword	Weapon	Normal	Sword2	0	1	0	Gold	110	Salvage,Upgrade	None	STAT_ATK	PLUS	30	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 상의																																			
102011001	Chest1	Equip	Armor	Chest	Chest	Normal	Top1	0	1	0	Gold	120	Shop	None	STAT_DEF	PLUS	5	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
102011002	Chest2	Equip	Armor	Chest	Chest	Normal	Top2	0	1	0	Gold	130	None	None	STAT_DEF	PLUS	15	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 다리																																			
102021001	Boots1	Equip	Armor	Boots	Boots	Normal	Leg1	0	1	0	Silver	140	Stash,Shop	None	STAT_DEF	PLUS	1	STAT_MOVE_SPEED	PLUS	10	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
102021002	Boots1	Equip	Armor	Boots	Boots	Normal	Leg2	0	1	0	Silver	150	None	None	STAT_DEF	PLUS	15	STAT_MOVE_SPEED	PLUS	20	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 물약																																			
201011001	Small HP Potion	Consumable	Potion	RecoverHp	None	Normal	HpPotion1	0	999	1	Gold	160	None	None	NONE	NONE	100	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201011002	Big HP Potion	Consumable	Potion	RecoverHp	None	Normal	HpPotion2	0	999	1	Gold	170	None	None	NONE	NONE	50	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201011003	Crafted HP Potion	Consumable	Potion	RecoverHp	None	Normal	CraftHpPotion1	0	999	1	Gold	170	None	None	NONE	NONE	200	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201021001	Small MP Potion	Consumable	Potion	RecoverMp	None	Normal	MpPotion1	0	999	1	Gold	180	None	None	NONE	NONE	100	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201021002	Big MP Potion	Consumable	Potion	RecoverMp	None	Normal	MpPotion2	0	999	1	Gold	190	None	None	NONE	NONE	50	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201021003	Crafed MP Potion	Consumable	Potion	RecoverMp	None	Normal	CraftMpPotion1	0	999	1	Gold	190	None	None	NONE	NONE	220	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
