Key,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
"Confirm","","Confirm","","확인",""
"Cancel","","Cancel","","취소",""
"Close","","Close","","닫기",""
"Reset","","Default","","기본값",""
"Accept","","Accept","","적용",""
"Delete","","Delete","","삭제",""
"ui_date_weekday_sunday","","Sunday","","일요일",""
"ui_date_weekday_monday","","Monday","","월요일",""
"ui_date_weekday_tuesday","","Tuesday","","화요일",""
"ui_date_weekday_wednesday","","Wednesday","","수요일",""
"ui_date_weekday_thursday","","Thursday","","목요일",""
"ui_date_weekday_friday","","Friday","","금요일",""
"ui_date_weekday_saturday","","Saturday","","토요일",""
"ui_date_weekday_sunday_short","","Sun","","일",""
"ui_date_weekday_monday_short","","Mon","","월",""
"ui_date_weekday_tuesday_short","","Tue","","화",""
"ui_date_weekday_wednesday_short","","Wed","","수",""
"ui_date_weekday_thursday_short","","Thu","","목",""
"ui_date_weekday_friday_short","","Fri","","금",""
"ui_date_weekday_saturday_short","","Sat","","토",""
"ui_date_climate_spring","","Spring","","봄",""
"ui_date_climate_summer","","Summer","","여름",""
"ui_date_climate_autumn","","Autumn","","가을",""
"ui_date_climate_winter","","Winter","","겨울",""
"ui_date_climate_spring_short","","Spr","","봄",""
"ui_date_climate_summer_short","","Sum","","여름",""
"ui_date_climate_autumn_short","","Aut","","가을",""
"ui_date_climate_winter_short","","Win","","겨울",""
"ui_date_daynumber","","Day {0}","","{0} 일차",""
