Key,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
"301011001","","Gold","","골드",""
"301021001","","Silver","","실버",""
"101011001","","Sword","","무딘 칼",""
"101011002","","Sword","","무딘 칼",""
"101011003","","Sword","","무딘 칼",""
"101011004","","Sword","","무딘 칼",""
"101011005","","Sword","","무딘 칼",""
"101011006","","Sword","","무딘 칼",""
"101011007","","Crafed Sword1","","제작 무딘 칼1",""
"101011008","","Crafed Sword2","","제작 무딘 칼2",""
"101011021","","Super Sword","","날선 칼",""
"102011001","","Chest1","","상의 1",""
"102011002","","Chest2","","상의 2",""
"102021001","","Boots1","","다리 1",""
"102021002","","Boots1","","다리 2",""
"201011001","","Small HP Potion","","작은 HP포션",""
"201011002","","Big HP Potion","","큰 HP포션",""
"201011003","","Crafted HP Potion","","제작 HP 포션1",""
"201021001","","Small MP Potion","","작은 MP포션",""
"201021002","","Big MP Potion","","큰 MP포션",""
"201021003","","Crafed MP Potion","","제작 MP 포션1",""
"201031001","","ATK Speed Potion","","공격속도 증가",""
"201041002","","Move Speed Potion","","이동속도 증가",""
"401011001","","Arandula","","아란둘라",""
"401011002","","Kekik","","케킥",""
"401011003","","Kokuda","","코쿠다",""
"401011004","","Mandragora","","만다고라",""
"401011005","","Sclaria","","클라리아",""
"401011006","","Rock1","","조그만 돌",""
"401011007","","Rock2","","돌",""
"401011008","","Rock3","","거대한 돌",""
"401011009","","GoldBar1","","골드 바1",""
"401011010","","GoldBar2","","골드 바2",""
"401011011","","GoldBar3","","골드 바3",""
"401011012","","SilverBar1","","실버 바1",""
"401011013","","SilverBar2","","실버 바2",""
"401011014","","SilverBar3","","실버 바3",""
"401011015","","BronzeBar1","","브론즈 바1",""
"401011016","","BronzeBar2","","브론즈 바2",""
"401011017","","BronzeBar3","","브론즈 바3",""
"108091001","","Axe1","","도끼1",""
"108101001","","Hoe1","","괭이1",""
"108111001","","Shovel1","","삽1",""
"108121001","","Sickle1","","낫1",""
"108131001","","Watering Can1","","물뿌리개1",""
"209141001","","Carrot Seed1","","당근 씨앗1",""
"209141002","","Union Seed1","","양파 씨앗",""
"210141001","","Carrot1","","당근1",""
"210141002","","Union1","","양파1",""
