Key,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
"Intro_Button_NewGame","New Game","New Game","","새 게임",""
"Intro_Button_Continue","Continue Game","Continue Game","","계속하기",""
"Intro_Button_Load","Load Game","Load Game","","불러오기",""
"Loading_Text_Tables","Tables","Tables","","테이블",""
"Loading_Text_Resources","Resources","Resources","","리소스",""
"Loading_Text_Effect","Effect Resources","Effect Resources","","이펙트 리소스",""
"Loading_Text_Item","Item Data","Item Data","","아이템 데이터",""
"Loading_Text_Skill","Skill Data","Skill Data","","스킬 데이터",""
"Loading_Text_SaveData","Save Data","Save Data","","저장 데이터",""
"Loading_Text_LoadingPercent","","{0} Loading... {1}%","","{0} 로딩중... {1}%",""
"Intro_Button_Option","","Option","","옵션",""
